frame,t,yellow_frac
618,20.6000,0.00148
619,20.6333,0.00148
620,20.6667,0.00148
621,20.7000,0.00148
622,20.7333,0.00151
623,20.7667,0.00151
624,20.8000,0.00151
625,20.8333,0.00151
626,20.8667,0.00151
627,20.9000,0.00151
628,20.9333,0.00151
629,20.9667,0.00151
630,21.0000,0.00151
631,21.0333,0.00151
632,21.0667,0.00151
633,21.1000,0.00152
634,21.1333,0.00152
635,21.1667,0.00152
636,21.2000,0.00152
637,21.2333,0.00152
638,21.2667,0.00152
639,21.3000,0.00152
640,21.3333,0.00152
641,21.3667,0.00152
642,21.4000,0.00151
643,21.4333,0.00151
644,21.4667,0.00151
645,21.5000,0.00151
646,21.5333,0.00170
647,21.5667,0.00184
648,21.6000,0.00197
649,21.6333,0.00209
650,21.6667,0.00225
651,21.7000,0.00236
652,21.7333,0.00256
653,21.7667,0.00264
654,21.8000,0.00276
655,21.8333,0.00286
656,21.8667,0.00307
657,21.9000,0.00328
658,21.9333,0.00360
659,21.9667,0.00388
660,22.0000,0.00409
661,22.0333,0.00434
662,22.0667,0.00468
663,22.1000,0.00481
664,22.1333,0.00497
665,22.1667,0.00533
666,22.2000,0.00538
667,22.2333,0.00555
668,22.2667,0.00562
669,22.3000,0.00584
670,22.3333,0.00581
671,22.3667,0.00602
672,22.4000,0.00603
673,22.4333,0.00614
674,22.4667,0.00631
675,22.5000,0.00634
676,22.5333,0.00643
677,22.5667,0.00653
678,22.6000,0.00653
679,22.6333,0.00661
680,22.6667,0.00676
681,22.7000,0.00696
682,22.7333,0.00690
683,22.7667,0.00690
684,22.8000,0.00692
685,22.8333,0.00698
686,22.8667,0.00709
687,22.9000,0.00709
688,22.9333,0.00709
689,22.9667,0.00709
690,23.0000,0.00709
691,23.0333,0.00711
692,23.0667,0.00717
693,23.1000,0.00723
694,23.1333,0.00728
695,23.1667,0.00728
696,23.2000,0.00728
697,23.2333,0.00731
698,23.2667,0.00728
699,23.3000,0.00728
700,23.3333,0.00728
